i,sums
#### 16 ####,#### 16 ####
1.0,5.4130381741672755
2.0,4.832933106497497
3.0,4.616686251581903
4.0,4.509004704346839
5.0,4.443223899116131
6.0,4.39775595080351
7.0,4.3644311445618476
8.0,4.339480851422293
9.0,4.320759600657637
10.0,4.30681916522891
11.0,4.296567708640697
12.0,4.2891398146319055
13.0,4.283844156967653
14.0,4.280135196033855
15.0,4.277590247751675
16.0,4.275887583597894
17.0,4.274786124591285
18.0,4.274107679454689
19.0,4.273722138211618
20.0,4.273535567636116
21.0,4.273480896469706
22.0,4.273510776902449
23.0,4.273592201641659
24.0,4.273702496589469
25.0,4.273826368560159
26.0,4.273953749222167
27.0,4.274078232522631
28.0,4.274195950168288
29.0,4.274304767886441
30.0,4.274403715026079
31.0,4.274492582901689
32.0,4.274571644502392
33.0,4.274641461023609
34.0,4.2747027501621755
35.0,4.2747562980766585
36.0,4.274802901997051
37.0,4.274843334162311
38.0,4.274878320439782
39.0,4.274908528911621
40.0,4.274934565102427
41.0,4.274956971518441
42.0,4.274976229880298
43.0,4.274992764937693
44.0,4.275006949113113
45.0,4.275019107474384
46.0,4.275029522712532
47.0,4.275038439924066
48.0,4.275046071080801
49.0,4.275052599127254
50.0,4.275058181683199
51.0,4.275062954353318
52.0,4.275067033660783
53.0,4.275070519630264
54.0,4.275073498050196
55.0,4.275076042445597
56.0,4.275078215792452
57.0,4.275080072003197
58.0,4.275081657210823
59.0,4.275083010876656
60.0,4.275084166744478
61.0,4.275085153661166
62.0,4.275085996281649
63.0,4.275086715673962
64.0,4.275087329838088
65.0,4.275087854150561
66.0,4.275088301745252
67.0,4.2750886838393
68.0,4.275089010011993
69.0,4.275089288443318
70.0,4.275089526117907
71.0,4.275089728999398
72.0,4.275089902179448
73.0,4.275090050005054
74.0,4.2750901761873354
75.0,4.275090283894464
76.0,4.275090375831028
77.0,4.275090454305819
78.0,4.275090521289715
79.0,4.275090578465123
80.0,4.2750906272681695
#### 8 ####,#### 8 ####
82.0,4.5129939134663895
83.0,4.510624912983228
84.0,4.509863961170788
85.0,4.5093515164228
86.0,4.508964019424416
87.0,4.508660018515773
88.0,4.508416542438458
89.0,4.508218767777413
90.0,4.508056421445238
91.0,4.507922040652129
92.0,4.50781003786801
93.0,4.507716136851819
94.0,4.507637009956919
95.0,4.507570033021842
96.0,4.5075131136767626
97.0,4.5074645677350045
98.0,4.507423028303316
99.0,4.5073873778519316
100.0,4.507356696730659
101.0,4.5073302236554476
102.0,4.507307325040903
103.0,4.507287470975366
104.0,4.507270216258969
105.0,4.507255185343998
106.0,4.507242060305064
107.0,4.507230571171235
108.0,4.507220488104687
109.0,4.5072116150269945
110.0,4.5072037843854424
111.0,4.507196852822476
112.0,4.507190697566226
113.0,4.5071852134021295
114.0,4.507180310117441
115.0,4.50717591033442
116.0,4.507171947666103
117.0,4.50716836514193
118.0,4.507165113860926
119.0,4.507162151837842
120.0,4.507159443013603
121.0,4.507156956406381
122.0,4.507154665383082
123.0,4.507152547034255
124.0,4.5071505816379425
125.0,4.507148752199918
126.0,4.507147044059698
127.0,4.507145444553054
128.0,4.507143942723135
129.0,4.5071425290733025
130.0,4.507141195355794
131.0,4.50713993439112
132.0,4.507138739913852
133.0,4.507137606440904
134.0,4.50713652915918
135.0,4.507135503829757
136.0,4.507134526706143
137.0,4.50713359446463
138.0,4.507132704144956
139.0,4.507131853099686
140.0,4.507131038951172
141.0,4.5071302595548035
142.0,4.507129512967751
143.0,4.507128797422306
144.0,4.507128111303157
145.0,4.507127453128021
146.0,4.507126821531094
147.0,4.507126215248951
148.0,4.507125633108486
149.0,4.507125074016566
150.0,4.507124536951215
151.0,4.507124020954021
152.0,4.507123525123613
153.0,4.507123048610058
