i,sums
#### 16 ####,#### 16 ####
498.0,4.588419269754481
499.0,4.588419217139247
500.0,4.588419165146981
501.0,4.58841911376836
502.0,4.5884190629943395
503.0,4.5884190128160105
504.0,4.588418963224575
505.0,4.588418914211473
506.0,4.588418865768287
507.0,4.588418817886692
508.0,4.58841877055859
509.0,4.588418723775983
510.0,4.588418677531009
#### 1 ####,#### 1 ####
512.0,4.592615514277416
513.0,4.592612098597097
514.0,4.592611768449838
515.0,4.592611666908294
516.0,4.592611615846761
