,t,delta_t,x_n,v_n
0,0.0,1.0,0.01,0.0
1,2.0,1.114067011216779,0.013199346190259836,-0.009604508259608352
2,2.0,0.7255843611735006,0.013199346190259836,-0.009604508259608352
3,2.0,0.3492324159859202,0.013199346190259836,-0.009604508259608352
4,2.0,0.08988699995573993,0.013199346190259836,-0.009604508259608352
5,2.17977399991148,0.22311514542202285,0.01003430126625232,-0.027552172357513102
6,2.17977399991148,0.058229170583356346,0.01003430126625232,-0.027552172357513102
7,2.2962323410781926,0.19174121115475795,0.005565410250445718,-0.050823286701049866
8,2.2962323410781926,0.06460804559515426,0.005565410250445718,-0.050823286701049866
9,2.4254484322685013,0.1548263616167975,-0.003803244239541906,-0.09782934383631961
10,2.4254484322685013,0.0743542033459857,-0.003803244239541906,-0.09782934383631961
11,2.5741568389604725,0.12048065757802656,-0.025590107186996645,-0.2047049494154936
12,2.5741568389604725,0.07469167856954295,-0.025590107186996645,-0.2047049494154936
13,2.7235401960995587,0.09438858232568767,-0.0711779215235204,-0.42523105894078905
14,2.7235401960995587,0.06718774391675356,-0.0711779215235204,-0.42523105894078905
15,2.857915683933066,0.07595657520637618,-0.15224393311756418,-0.8111958677388228
16,2.857915683933066,0.057698298344668324,-0.15224393311756418,-0.8111958677388228
17,2.9733122806224026,0.06204037672408836,-0.2768584331447632,-1.3823154614353483
18,2.9733122806224026,0.04862111073477841,-0.2768584331447632,-1.3823154614353483
19,3.0705545020919596,0.05081625152990132,-0.44393784859766233,-2.076906144385393
20,3.0705545020919596,0.041524098634413614,-0.44393784859766233,-2.076906144385393
21,3.153602699360787,0.042409942542701855,-0.6441454451882935,-2.7402033648084627
22,3.153602699360787,0.03787249174559778,-0.6441454451882935,-2.7402033648084627
23,3.2293476828519823,0.037996528902233775,-0.8694493262301206,-3.1674875613621847
24,3.3053407406564497,0.0402522658565514,-1.111029402016754,-3.1150242071458267
25,3.3858452723695525,0.08244312739753655,-1.3373610964617357,-2.4430253967712097
26,3.3858452723695525,0.04372406612046241,-1.3373610964617357,-2.4430253967712097
27,3.3858452723695525,0.03479371353689131,-1.3373610964617357,-2.4430253967712097
28,3.4554326994433353,0.04156790460112774,-1.4794636258429725,-1.6391137517997545
29,3.5385685086455907,0.041560956835179345,-1.5804705566563524,-0.8279645344572732
30,3.6216904223159494,0.04914112928365793,-1.6269545768124285,-0.3271255797723456
31,3.719972680883265,0.06471480540109337,-1.643073711498856,-0.030874883093730626
32,3.849402291685452,0.0955593035663966,-1.635904060221241,0.12085610351429966
33,4.040520898818245,0.16856866544712956,-1.6056639694884403,0.18440818138191742
34,4.3776582297125035,0.5088971999091694,-1.5378044429497564,0.21494062214015314
35,5.395452629530842,0.4821679904510152,-1.2709854844174824,0.32625957542384065
36,5.395452629530842,0.1935234458852255,-1.2709854844174824,0.32625957542384065
37,5.782499521301293,0.23200772052480034,-1.120819233361746,0.46131732160869454
38,5.782499521301293,0.14699522061383385,-1.120819233361746,0.46131732160869454
39,6.076489962528961,0.16073361448138793,-0.9544099625215048,0.6960590962268183
40,6.076489962528961,0.11007175180125564,-0.9544099625215048,0.6960590962268183
41,6.296633466131472,0.11980860885013588,-0.7582041680767815,1.136757371482504
42,6.296633466131472,0.035832959212283286,-0.7582041680767815,1.136757371482504
43,6.368299384556039,0.1254255934570139,-0.667376722782435,1.4105133146969704
44,6.368299384556039,0.035291461357587664,-0.667376722782435,1.4105133146969704
45,6.438882307271214,0.11252781890140562,-0.5545511126958049,1.8060579110971462
46,6.438882307271214,0.05187945195816628,-0.5545511126958049,1.8060579110971462
47,6.542641211187547,0.06750845802786494,-0.3200264530960578,2.793217264373772
48,6.677658127243277,0.06242772897347008,0.21807766786426425,5.390293153175669
49,6.677658127243277,0.01982464717933204,0.21807766786426425,5.390293153175669
50,6.717307421601942,0.018489448488918227,0.4521886105833316,6.417869036400899
51,6.754286318579778,0.017551218935975707,0.705368045431908,7.240847635633326
52,6.7893887564517295,0.016580416885134237,0.9671968964511997,7.606653499716172
53,6.822549590221998,0.01784747062404443,1.2162642811345294,7.329966300345635
54,6.858244531470087,0.017410731685516812,1.4611195418201177,6.305216387095013
55,6.858244531470087,0.014808875131226376,1.4611195418201177,6.305216387095013
56,6.88786228173254,0.014666872811221013,1.6300860246006847,5.080257817976047
57,6.917196027354982,0.015604482881633372,1.7603006107164545,3.8055122198394664
58,6.948404993118249,0.019449230355585673,1.8599429508117735,2.6105968204190853
59,6.98730345382942,0.035104312794168716,1.9388739510233581,1.5034140413345325
60,7.057512079417758,0.034726847422883206,2.0026306141505885,0.4392148215972186
61,7.126965774263524,0.03719873365000413,2.0182790834765,0.060888662683737854
62,7.201363241563532,0.0552299810446845,2.01715700794488,-0.07203474981472066
63,7.3118232036529,0.09399247200097917,2.0058605744938927,-0.12213526152481377
64,7.499808147654859,0.21882522099249174,1.9814701774212296,-0.13410217762656926
65,7.937458589639842,1.3565928250584156,1.9211685422681737,-0.14141968403147304
66,10.650644239756673,1.2339532491710985,1.4413126512292616,-0.22996162696303268
67,10.650644239756673,0.33146290592712196,1.4413126512292616,-0.22996162696303268
68,11.313570051610917,0.3762003990788318,1.2524041491410747,-0.34459525979795963
69,11.313570051610917,0.19849098797253048,1.2524041491410747,-0.34459525979795963
70,11.710552027555977,0.22034668187804668,1.0880621047834393,-0.49940431028494914
71,11.710552027555977,0.13554709669088377,1.0880621047834393,-0.49940431028494914
72,11.981646220937744,0.15028936745115093,0.9214584459926971,-0.7573512346589997
73,11.981646220937744,0.10731366880369017,0.9214584459926971,-0.7573512346589997
